Country,Population,Density,PPP
China,1440297825,153,17189.28179
India,1382345085,464,6525.428052
United States,331341050,36,63027.67953
Indonesia,274021604,151,12072.43996
Pakistan,221612785,287,5426.019788
Brazil,212821986,25,14834.1937
Nigeria,206984347,226,5185.988584
Bangladesh,164972348,1265,5995.407429
Russia,145945524,9,29916.01367
Mexico,129166028,66,18670.8104
Japan,126407422,347,42100.25769
Ethiopia,115434444,115,2422.681026
Philippines,109830324,368,8394.242258
Egypt,102659126,103,12605.97574
Vietnam,97490013,314,10904.45215
DR Congo,90003954,40,1141.726007
Turkey,84495243,110,8538.17
Iran,84176929,52,15791.15951
Germany,83830972,240,54844.54597
Thailand,69830779,137,18197.94241
United Kingdom,67948282,281,46526.91187
France,65298930,119,46991.18203
Italy,60446035,206,41987.81596
Tanzania,60012400,67,2779.683594
South Africa,59436725,49,13359.48433
Myanmar,54473253,83,5123.407709
Kenya,53968739,94,4587.18632
South Korea,51276977,527,45225.84454
Colombia,50976248,46,14868.46982
Spain,46757980,94,37756.351
Uganda,45974931,229,2294.147984
Argentina,45267449,17,20769.03238
Algeria,43984569,18,11323.31222
Sudan,44019263,25,4142.11084
Ukraine,43686577,75,13087.30957
Iraq,40372771,93,9954.345263
Afghanistan,39074280,60,2078.479082
Poland,37839255,124,34286.98508
Canada,37799407,4,46572.13743
Morocco,36985624,83,7368.891602
Saudi Arabia,34905942,16,46778.29837
Uzbekistan,33551824,79,7746.430969
Peru,33050211,26,11908.0607
Angola,33032075,26,6478.332182
Malaysia,32436963,99,27921.41095
Mozambique,31398811,40,1297.298716
Ghana,31181428,137,5749.655385
Yemen,29935468,56,824.12
Nepal,29225196,203,3996.66547
Venezuela,28421581,32,16055.65
Madagascar,27808395,48,1543.952938
Cameroon,26655083,56,3867.203808
Ivory Coast,26486282,83,2325.72 
North Korea,25798588,214,1300.45
Australia,25550683,3,53316.88543
Niger,24346468,19,1288.153512
Taiwan,23824369,673,55724.87
Sri Lanka,21428970,341,13226.73006
Burkina Faso,20997293,76,2273.831365
Mali,20346106,17,2347.796674
Romania,19214608,84,32202.20866
Malawi,19211425,203,1591.475591
Chile,19144605,26,25089.0313
Kazakhstan,18815231,7,26750.44623
Zambia,18468257,25,3457.328102
Guatemala,17971382,167,8852.947743
Ecuador,17688599,71,10890.45664
Syria,17571053,95,2032.62
Netherlands,17141544,508,59266.90858
Senegal,16816539,87,3503.595017
Cambodia,16758448,95,4423.474631
Chad,16502877,13,1591.669953
Somalia,15965848,25,1245.642283
Zimbabwe,14899771,38,2251.455674
Guinea,13191279,53,2754.418384
Rwanda,13005303,525,2213.568598
Benin,12175480,108,3505.138455
Burundi,11948454,463,771.1012372
Tunisia,11839918,76,10878.82319
Bolivia,11700207,11,8283.131195
Belgium,11598451,383,53070.21482
Haiti,11426356,414,3094.941621
Cuba,11325391,106,9099.67
South Sudan,11216250,18,1810.80
Dominican Republic,10866667,225,17934.19325
Czech Republic,10712481,139,41608.02535
Greece,10413936,81,27948.64973
Jordan,10220604,115,10354.16403
Portugal,10191409,111,34177.08571
Azerbaijan,10154978,123,14478.52445
Sweden,10110233,25,55064.88501
Honduras,9931333,89,5419.792164
United Arab Emirates,9910892,118,66766.05393
Hungary,9655983,107,33274.34766
Tajikistan,9573310,68,3854.190435
Belarus,9448772,47,20237.55113
Austria,9015361,109,55685.97029
Papua New Guinea,8975531,20,4285.765475
Serbia,8731081,100,19093.95531
Israel,8678517,400,39489.28078
Switzerland,8665615,219,71745.2994
Togo,8310934,152,2223.316956
Sierra Leone,8004158,111,1726.964157
Hong Kong,7507523,7140,58980.01105
Laos,7293542,32,7790
Paraguay,7147553,18,13034.71654
Bulgaria,6939018,64,24564.43768
Libya,6887247,4,17286.36814
Lebanon,6819976,667,11376.79398
Nicaragua,6638075,55,5573.868729
Kyrgyzstan,6542426,34,4985.029555
El Salvador,6491923,313,8419.799438
Turkmenistan,6046292,13, 15600
Singapore,5858322,8358,99681.29415
Denmark,5795780,137,60229.91477
Finland,5542237,18,50937.16075
Congo,5540555,16,3689.111729
Slovakia,5460109,114,31210
Norway,5428594,15,62644.84574
Oman,5128058,16,31117.75771
Palestine,5121112,847,3239.34
Costa Rica,5102158,100,22243.80196
Liberia,5077411,53,1468.245239
Ireland,4947267,72,93350.08753
Central African Republic,4843954,8,989.2187437
New Zealand,4829021,18,44657.77372
Mauritania,4669775,5,5389.646488
Panama,4326296,58,26780.3006
Kuwait,4281320,240,47303.12985
Croatia,4100719,73,28780.31674
Moldova,4032294,123,12941.89278
Georgia,3987805,57,14731.20059
Eritrea,3554797,35,652,74
Uruguay,3475842,20,22728.21533
Bosnia and Herz.,3277152,64,15598.43034
Mongolia,3287242,2,12365.93848
Armenia,2964219,104,13311.02814
Jamaica,2963429,273,9240.821869
Qatar,2889284,248,89961.43323
Albania,2877239,105,13632.18654
Puerto Rico,2846860,323,34333.74725
Lithuania,2715340,43,38880.54527
Namibia,2548663,3,9358.537168
Gambia,2427782,239,2276.650708
Botswana,2359585,4,15471.09481
Gabon,2234448,9,15105.13431
Lesotho,2145194,71,2569.337741
Macedonia,2083359,83,16719.6901
Slovenia,2078989,103,39725.25919
Guinea-Bissau,1975718,70,1948.643401
Latvia,1882408,30,31424.90221
Bahrain,1711057,2239,43821.12449
Equatorial Guinea,1410419,50,18157.51367
