Age,The World M,The World F,China M,China F,India M,India F,USA M,USA F,Indonesia M,Indonesia F,Pakistan M,Pakistan F,Nigeria M,Nigeria F,Brazil M,Brazil F,Bangladesh M,Bangladesh F,Russia M,Russia F,Mexico M,Mexico F,Japan M,Japan F,Ethiopia M,Ethiopia F,Philippines M,Philippines F,Egypt M,Egypt F,D.R Congo M,D.R Congo F,Vietnam M,Vietnam F,Iran M,Iran F,Germany M,Germany F,U.K M,U.K F,Korea M,Korea F,Singapore M,Singapore F
100+,114528,418582,11731,56108,15806,28978,18734,71215,338,1061,549,272,11,15,5100,13633,1674,3220,730,8013,4599,8034,9208,63984,171,243,208,1411,167,761,36,132,5432,17365,235,269,3172,14520,2837,12515,517,3350,146,575
95-99,1203726,3239297,140322,386612,102398,145066,192914,470608,8356,21118,9782,6640,565,818,38661,94171,15953,24099,11757,94056,33468,53553,102550,422445,2636,4256,3035,13376,3239,9779,1032,2284,27140,75055,5482,6050,46133,165259,40247,106470,8777,36441,1176,3038
90-94,5370654,11222622,748881,1525990,461093,576998,705344,1348383,62920,120504,54187,42463,5959,7551,156399,331531,69156,94723,129258,554212,107042,166168,473936,1224732,17541,23336,17327,57969,19364,43897,7257,12984,77966,190193,26375,30662,228579,521298,170828,323197,39759,133738,5108,10743
85-89,15423679,25733670,2787103,4583542,1554275,1903736,1508564,2354382,206571,370803,194217,172865,38069,45621,402311,714933,214022,255867,301779,1017348,245661,355945,1236610,2278049,68326,84288,73508,155294,77016,136867,32077,49256,194038,412433,167534,115131,573159,978729,431640,631795,145865,352443,13971,24051
80-84,33071682,47305811,6808650,9097473,3746644,4538052,2711133,3534132,609406,967968,482413,450144,154947,180052,888580,1342561,475187,511245,962876,2587982,442153,585051,2142122,3064600,163913,195158,199400,360751,195583,291548,94325,130479,303761,570071,320024,242550,1335326,1871223,748505,950525,378896,649984,29827,41515
75-79,53073892,66973202,11801212,13715744,6861862,7794418,4116773,5133603,1236841,1633555,918493,886346,416168,468410,1422037,1933468,838676,860226,964092,2326630,749124,913256,3029250,3765873,327067,379721,364200,567282,344142,473628,202240,258538,419579,694240,468521,414409,1681060,2074960,1088727,1255234,638576,877984,41334,51936
70-74,82793263,96515002,19746314,21631501,10982591,11861814,6356712,7402146,1980318,2425934,1352702,1307249,796663,874332,2234841,2810744,1206246,1159666,1767780,3208370,1081587,1279995,4249293,4770203,523741,627334,668107,895866,723478,871163,347093,416543,608602,917633,669681,687308,1796065,2037511,1595596,1733900,891774,1036309,77337,89520
65-69,124471230,136004171,35185041,36260434,18287177,18288098,8262182,9153264,3347235,3380722,1753716,1728801,1196671,1326748,3261073,3875478,1442178,1274234,3125008,4958868,1587946,1848282,4237635,4453649,715974,807742,1082875,1285782,1011894,1094280,500248,563894,1226516,1546387,1053913,1063962,2228280,2453269,1658433,1748557,1209711,1310502,173697,155357
60-64,153758680,161570707,38607054,38368062,24129236,23591764,9912939,10516713,4945148,4977672,2534492,2483204,1704178,1831559,4275622,4880012,2209994,1966373,4178725,5831635,2096926,2413178,3794708,3832432,922994,1073385,1556935,1714689,1399912,1451873,685141,745682,1923533,2226032,1501057,1507612,2776121,2889856,1868565,1930920,1775200,1840304,233476,200106
55-59,187135108,190624979,47588180,46379016,29500956,28445217,10754302,10936920,6338734,6444108,3371435,3291097,2260955,2356340,5376802,5948447,3316370,3050244,4775206,5928651,2662963,2991678,3914985,3869646,1117361,1278866,2015857,2112380,1767813,1782072,900239,956070,2473043,2663483,1767297,1790401,3347849,3362968,2196916,2266531,2066858,2065585,259982,219382
